"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"规则管理","基础规则-关键字/正则","文档规则更新接口","0","0","3","0","0"
"系统管理","权限管理-角色配置","角色修改接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员批量创建接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户组接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色待选菜单列表接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级删除接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级新增接口","0","0","3","0","0"
"规则管理","基础规则-数据字典","文档规则删除接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","新增文档指纹库接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","查询近几次的同步状态接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","删除数据源配置接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员修改接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","删除文档指纹库接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员密码重置接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","单个用户删除接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","测试数据源配置接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级修改接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","校验正则表达式是否重复接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表搜索接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","查询所有同步配置接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","修改职位接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色新增接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","普通用户重置密码接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则导出excel接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","指纹库新增界面的文件类型查询接口","0","0","2","0","0"
"系统管理","权限管理-角色配置","角色详情查看接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5模板下载接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则导出数据核查接口","0","0","2","0","0"
"规则管理","基础规则-数据字典","文档规则更新接口","0","0","1","0","0"
"用户管理","用户同步管理-用户推送","同步用户列表状态查询接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色列表接口","0","0","2","0","0"
"规则管理","基础规则-关键字/正则","文档规则模板下载接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5名称列表查询接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","查询文档规则策略信息接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","单个用户组删除接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5列表查询接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","用户信息导出接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","数据字典模板下载接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","编辑，获取同步根组id接口","1","0","0","0","0"
"用户管理","用户同步管理-用户同步","立即同步接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","地域列表查询接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户组接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","数据字典excel解析接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","新增职位接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则导出excel接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则删除接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则新增接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色删除接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","重新计算指纹接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表查看接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","删除职位接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","查询文档规则策略信息接口","0","0","1","0","0"
